날짜,차분,수익율,로그수익율
2023-06-02,1300.0,0.01833568406205921,0.0181696123606987
2023-06-05,-500.0,-0.006925207756232732,-0.006949298293205917
2023-06-07,-700.0,-0.009762900976290068,-0.009810870564259222
2023-06-08,-100.0,-0.0014084507042253502,-0.0014094435032336043
2023-06-09,1100.0,0.015514809590973178,0.015395685477973473
2023-06-12,-1000.0,-0.01388888888888884,-0.01398624197473984
2023-06-13,1000.0,0.014084507042253502,0.01398624197473987
2023-06-14,-100.0,-0.001388888888888884,-0.0013898542890543016
2023-06-15,-400.0,-0.0055632823365785455,-0.005578815027038998
2023-06-16,300.0,0.00419580419580412,0.004187026354216453
2023-06-19,-600.0,-0.00835654596100277,-0.008391657636248401
2023-06-20,200.0,0.002808988764045006,0.0028050509276086816
2023-06-21,-900.0,-0.012605042016806678,-0.012685159527315687
2023-06-22,800.0,0.01134751773049647,0.0112836176020273
2023-06-23,300.0,0.004207573632538653,0.004198746546349761
2023-06-26,800.0,0.011173184357541999,0.011111225425070849
2023-06-27,200.0,0.0027624309392264568,0.0027586224390796607
2023-06-28,100.0,0.0013774104683195176,0.0013764627087232354
2023-06-29,-300.0,-0.004126547455295726,-0.0041350851478029905
2023-06-30,-200.0,-0.002762430939226568,-0.002766253492890185
2023-07-03,800.0,0.011080332409972193,0.01101939524961048
2023-07-04,0.0,0.0,0.0
2023-07-05,-1000.0,-0.013698630136986356,-0.013793322132335873
2023-07-06,-400.0,-0.005555555555555536,-0.00557104504945536
2023-07-07,-1700.0,-0.023743016759776525,-0.024029424726835346
2023-07-10,-400.0,-0.005722460658083017,-0.005738896669018167
2023-07-11,2000.0,0.02877697841726623,0.028370697129215566
2023-07-12,400.0,0.005594405594405494,0.005578815027038934
2023-07-13,0.0,0.0,0.0
2023-07-14,1500.0,0.020862308762169768,0.02064767089346898
2023-07-17,-100.0,-0.0013623978201634523,-0.0013633267278640533
2023-07-18,-1300.0,-0.017735334242837686,-0.01789448987655053
2023-07-19,-300.0,-0.004166666666666652,-0.0041753714104806215
2023-07-20,-700.0,-0.009762900976290068,-0.009810870564259222
2023-07-21,-700.0,-0.009859154929577452,-0.009908078224696188
2023-07-24,100.0,0.0014224751066855834,0.0014214643473774466
2023-07-25,-400.0,-0.005681818181818232,-0.005698021114637779
2023-07-26,-200.0,-0.0028571428571428914,-0.002861232281032235
2023-07-27,1900.0,0.027220630372492893,0.02685673783724794
2023-07-28,-1100.0,-0.015341701534170138,-0.015460603106378265
2023-07-31,-800.0,-0.011331444759206777,-0.011396134730869582
2023-08-01,1300.0,0.018624641833810962,0.018453327040868477
2023-08-02,-1200.0,-0.016877637130801704,-0.017021687569430635
2023-08-03,-1100.0,-0.01573676680972813,-0.015861904300466544
2023-08-04,-500.0,-0.007267441860465129,-0.007293978362553611
2023-08-07,200.0,0.002928257686676483,0.002923978691435282
2023-08-08,-900.0,-0.013138686131386912,-0.01322576221926125
2023-08-09,1300.0,0.019230769230769162,0.01904819497069441
2023-08-10,-900.0,-0.013062409288824406,-0.01314847284350621
2023-08-11,-500.0,-0.007352941176470562,-0.007380107297622534
2023-08-14,-200.0,-0.002962962962962945,-0.0029673612278020007
